labels,size
"C1.1.
 64.1\%",0.2771882676036963
"C1.2.
 57.6\%",0.07956211810363849
"C1.3.
 26.2\%",0.07596432089007199
"C2.1.
 18.4\%",0.0887594780761196
"C2.2.
 18.8\%",0.029041156274775014
"C2.3.
 12.8\%",0.03630892285481715
"C3.1.
 17.6\%",0.10809098428858752
"C3.2.
 23.6\%",0.052796050368898007
"C3.3.
 61.1\%",0.25228870153939603
