q_data_sort,q_frequency
62.7001958333362,0.38314176245210724
61.4688159722233,0.7662835249042145
60.749327777779,1.1494252873563218
56.98,1.532567049808429
55.8879502688227,1.9157088122605364
55.14,2.2988505747126435
51.7440374999978,2.681992337164751
51.27,3.065134099616858
50.6,3.4482758620689653
48.25,3.8314176245210727
46.09,4.21455938697318
45.54,4.597701149425287
45.29,4.980842911877394
44.7212661290316,5.363984674329502
44.4233911290328,5.747126436781609
44.1046583333325,6.130268199233716
43.64,6.513409961685824
42.9033286290303,6.896551724137931
42.691143055556,7.2796934865900385
42.5521008064516,7.662835249042145
41.86,8.045977011494253
41.83,8.42911877394636
41.603004166666,8.812260536398467
41.5972083333318,9.195402298850574
41.21,9.578544061302683
41.0117479166645,9.961685823754788
40.9461357638898,10.344827586206897
40.2567782258063,10.727969348659004
39.6897187500028,11.11111111111111
39.25,11.494252873563218
39.18,11.877394636015326
38.87,12.260536398467432
38.17,12.643678160919542
38.09,13.026819923371647
37.9162701612886,13.409961685823754
37.84,13.793103448275861
37.69,14.17624521072797
36.74,14.559386973180077
36.65,14.942528735632186
36.5745927419351,15.32567049808429
35.65,15.708812260536398
35.31,16.091954022988507
35.3081753072196,16.47509578544061
34.9619240591406,16.85823754789272
34.87,17.24137931034483
34.2397049731154,17.624521072796934
34.1723077956987,18.007662835249043
34.11,18.39080459770115
33.9318145161294,18.773946360153257
33.782690277778,19.157088122605366
33.77,19.54022988505747
33.12,19.923371647509576
33.0826437499996,20.306513409961685
33.08,20.689655172413794
32.8842986111113,21.0727969348659
32.53,21.455938697318008
32.32,21.839080459770116
32.0392166666687,22.22222222222222
31.9984260752684,22.60536398467433
31.96,22.988505747126435
31.95,23.371647509578544
31.8726626344085,23.754789272030653
31.86,24.137931034482758
31.65,24.521072796934863
31.4865322580641,24.904214559386972
31.12,25.287356321839084
31.0720376344087,25.67049808429119
30.98,26.053639846743295
30.9,26.436781609195403
30.73,26.81992337164751
30.49,27.203065134099617
30.135529569893,27.586206896551722
29.59,27.969348659003828
29.5,28.35249042145594
29.46,28.735632183908045
29.29,29.118773946360154
29.25,29.50191570881226
29.1555041666652,29.88505747126437
28.99,30.268199233716476
28.97,30.65134099616858
28.8508673611113,31.03448275862069
28.74,31.417624521072796
28.58,31.800766283524908
28.58,32.18390804597701
28.55,32.56704980842912
