Fecha|Valor
2014-06-14 00:00:00|885.0
2014-06-15 00:00:00|909.0
2014-06-16 00:00:00|930.0
2014-06-17 00:00:00|973.0
2014-06-18 00:00:00|993.0
2014-06-19 00:00:00|1004.0
2014-06-20 00:00:00|1019.0
2014-06-21 00:00:00|1042.0
2014-06-22 00:00:00|1060.0
2014-06-23 00:00:00|1077.0
2014-06-24 00:00:00|1088.0
2014-06-25 00:00:00|1097.0
2014-06-26 00:00:00|1106.0
2014-06-27 00:00:00|1116.0
2014-06-28 00:00:00|1127.0
2014-06-29 00:00:00|1135.0
2014-06-30 00:00:00|1140.0
2014-07-01 00:00:00|1145.0
2014-07-02 00:00:00|1148.0
2014-07-03 00:00:00|1152.0
2014-07-04 00:00:00|1159.0
2014-07-05 00:00:00|1155.0
2014-07-06 00:00:00|1163.0
2014-07-07 00:00:00|1173.0
2014-07-08 00:00:00|1183.0
2014-07-09 00:00:00|1190.0
2014-07-10 00:00:00|1194.0
2014-07-11 00:00:00|1254.0
2014-07-12 00:00:00|1283.0
2014-07-13 00:00:00|1301.0
2014-07-14 00:00:00|1314.0
2014-07-15 00:00:00|1324.0
2014-07-16 00:00:00|1328.0
2014-07-17 00:00:00|1329.0
2014-07-18 00:00:00|1329.0
2014-07-19 00:00:00|1321.0
2014-07-20 00:00:00|1320.0
2014-07-21 00:00:00|1320.0
2014-07-22 00:00:00|1324.0
2014-07-23 00:00:00|1327.0
2014-07-24 00:00:00|1327.0
2014-07-25 00:00:00|1327.0
2014-07-26 00:00:00|1329.0
2014-07-27 00:00:00|1342.0
2014-07-28 00:00:00|1340.0
2014-07-29 00:00:00|1338.0
2014-07-30 00:00:00|1356.0
2014-07-31 00:00:00|1357.0
2014-08-01 00:00:00|1347.0
2014-08-02 00:00:00|1341.0
2014-08-03 00:00:00|1328.0
2014-08-04 00:00:00|1317.0
2014-08-05 00:00:00|1307.0
2014-08-06 00:00:00|1303.0
2014-08-07 00:00:00|1303.0
2014-08-08 00:00:00|1308.0
2014-08-09 00:00:00|1308.0
2014-08-10 00:00:00|1308.0
2014-08-11 00:00:00|1310.0
2014-08-12 00:00:00|1308.0
2014-08-13 00:00:00|1303.0
2014-08-14 00:00:00|1309.0
2014-08-15 00:00:00|1310.0
2014-08-16 00:00:00|1309.0
2014-08-17 00:00:00|1310.0
2014-08-18 00:00:00|1320.0
2014-08-19 00:00:00|1333.0
2014-08-20 00:00:00|1339.0
2014-08-21 00:00:00|1339.0
2014-08-22 00:00:00|1339.0
2014-08-23 00:00:00|1339.0
2014-08-24 00:00:00|1338.0
2014-08-25 00:00:00|1334.0
2014-08-26 00:00:00|1331.0
2014-08-27 00:00:00|1338.0
2014-08-28 00:00:00|1338.0
2014-08-29 00:00:00|1331.0
2014-08-30 00:00:00|1324.0
2014-08-31 00:00:00|1309.0
2014-09-01 00:00:00|1305.0
2014-09-02 00:00:00|1300.0
2014-09-03 00:00:00|1296.0
2014-09-04 00:00:00|1284.0
2014-09-05 00:00:00|1276.0
2014-09-06 00:00:00|1268.0
2014-09-07 00:00:00|1250.0
2014-09-08 00:00:00|1244.0
2014-09-09 00:00:00|1232.0
2014-09-10 00:00:00|1213.0
2014-09-11 00:00:00|1199.0
2014-09-12 00:00:00|1188.0
2014-09-13 00:00:00|1180.0
2014-09-14 00:00:00|1173.0
2014-09-15 00:00:00|1164.0
2014-09-16 00:00:00|1154.0
2014-09-17 00:00:00|1147.0
2014-09-18 00:00:00|1148.0
2014-09-19 00:00:00|1147.0
2014-09-20 00:00:00|1140.0
2014-09-21 00:00:00|1135.0
2014-09-22 00:00:00|1132.0
2014-09-23 00:00:00|1123.0
2014-09-24 00:00:00|1113.0
2014-09-25 00:00:00|1109.0
2014-09-26 00:00:00|1102.0
2014-09-27 00:00:00|1095.0
2014-09-28 00:00:00|1088.0
2014-09-29 00:00:00|1078.0
2014-09-30 00:00:00|1068.0
2014-10-01 00:00:00|1045.0
2014-10-02 00:00:00|1025.0
2014-10-03 00:00:00|1005.0
2014-10-04 00:00:00|989.0
2014-10-05 00:00:00|972.0
2014-10-06 00:00:00|945.0
2014-10-07 00:00:00|923.0
2014-10-08 00:00:00|910.0
2014-10-09 00:00:00|903.0
2014-10-10 00:00:00|893.0
2014-10-11 00:00:00|883.0
2014-10-12 00:00:00|885.0
2014-10-13 00:00:00|885.0
2014-10-14 00:00:00|878.0
2014-10-15 00:00:00|868.0
2014-10-16 00:00:00|858.0
2014-10-17 00:00:00|848.0
2014-10-18 00:00:00|853.0
2014-10-19 00:00:00|872.0
2014-10-20 00:00:00|890.0
2014-10-21 00:00:00|899.0
2014-10-22 00:00:00|902.0
2014-10-23 00:00:00|905.0
2014-10-24 00:00:00|905.0
2014-10-25 00:00:00|908.0
2014-10-26 00:00:00|912.0
2014-10-27 00:00:00|918.0
2014-10-28 00:00:00|922.0
2014-10-29 00:00:00|925.0
2014-10-30 00:00:00|925.0
2014-10-31 00:00:00|925.0
2014-11-01 00:00:00|925.0
2014-11-02 00:00:00|925.0
2014-11-03 00:00:00|925.0
2014-11-04 00:00:00|920.0
2014-11-05 00:00:00|920.0
2014-11-06 00:00:00|900.0
2014-11-07 00:00:00|900.0
2014-11-08 00:00:00|890.0
2014-11-09 00:00:00|873.0
2014-11-10 00:00:00|863.0
2014-11-11 00:00:00|848.0
2014-11-12 00:00:00|833.0
2014-11-13 00:00:00|824.0
2014-11-14 00:00:00|820.0
2014-11-15 00:00:00|815.0
2014-11-16 00:00:00|808.0
2014-11-17 00:00:00|800.0
2014-11-18 00:00:00|800.0
2014-11-19 00:00:00|800.0
2014-11-20 00:00:00|795.0
2014-11-21 00:00:00|795.0
2014-11-22 00:00:00|800.0
2014-11-23 00:00:00|799.0
2014-11-24 00:00:00|795.0
